Month,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
Feb,Accura,Urban,Friday,Apr,3,Female,Widow,77,Policy Holder,Sedan - Collision,Utility,less than 20000,55378,2,500,2,15 to 30,none,more than 4,new,16 to 17,Yes,No,External,none,under 6 months,2 vehicles,Collision
Dec,Porche,Rural,Thursday,Jan,1,Male,Divorced,49,Policy Holder,Sport - All Perils,Sedan,less than 20000,63432,2,400,2,1 to 7,none,more than 4,new,over 65,No,No,Internal,none,1 year,2 vehicles,Collision
Nov,Pontiac,Rural,Tuesday,Oct,2,Male,Divorced,18,Third Party,Sedan - Collision,Sport,20000 to 29000,25440,6,700,3,8 to 15,8 to 15,more than 4,4 years,36 to 40,No,Yes,Internal,3 to 5,1 year,3 to 4,Collision
May,Chevrolet,Urban,Sunday,Sep,5,Male,Widow,62,Third Party,Sedan - All Perils,Sedan,more than 69000,43289,5,700,3,8 to 15,8 to 15,2 to 4,3 years,26 to 30,No,No,Internal,more than 5,4 to 8 years,5 to 8,All Perils
Dec,Mercury,Urban,Friday,Mar,2,Female,Single,20,Third Party,Sedan - Liability,Sedan,30000 to 39000,94560,5,700,1,none,none,more than 4,3 years,26 to 30,Yes,Yes,Internal,none,4 to 8 years,2 vehicles,All Perils
Aug,Mercury,Urban,0,May,4,Female,Divorced,39,Third Party,Sport - Collision,Utility,60000 to 69000,49989,4,700,1,1 to 7,none,more than 4,new,41 to 50,Yes,Yes,External,1 to 2,2 to 3 years,more than 8,Liability
Mar,Dodge,Rural,Wednesday,May,3,Female,Divorced,72,Third Party,Sedan - Collision,Utility,30000 to 39000,50678,1,700,2,8 to 15,8 to 15,2 to 4,6 years,21 to 25,No,Yes,External,none,no change,more than 8,All Perils
Dec,Mazda,Rural,Sunday,Oct,5,Male,Widow,40,Third Party,Sedan - Collision,Sport,20000 to 29000,86554,1,400,4,none,none,1,more than 7,51 to 65,Yes,Yes,External,3 to 5,4 to 8 years,3 to 4,All Perils
Apr,Dodge,Rural,Friday,Oct,5,Female,Divorced,60,Third Party,Sedan - Liability,Sedan,40000 to 59000,55593,9,500,2,more than 30,15 to 30,more than 4,3 years,51 to 65,Yes,No,Internal,more than 5,no change,3 to 4,All Perils
Dec,Dodge,Rural,Sunday,Jan,3,Female,Divorced,36,Third Party,Sedan - Liability,Sedan,60000 to 69000,30519,2,300,3,more than 30,none,1,6 years,51 to 65,Yes,Yes,External,none,4 to 8 years,5 to 8,Liability
Oct,Ferrari,Rural,0,Nov,2,Female,Single,44,Third Party,Utility - All Perils,Sport,less than 20000,85122,6,500,3,none,more than 30,none,6 years,36 to 40,No,No,External,more than 5,4 to 8 years,more than 8,All Perils
May,Porche,Rural,Monday,Nov,5,Female,Divorced,66,Policy Holder,Sport - All Perils,Utility,30000 to 39000,34122,8,500,4,more than 30,8 to 15,2 to 4,5 years,16 to 17,Yes,No,External,3 to 5,under 6 months,1 vehicle,Liability
Dec,Saab,Urban,Saturday,Dec,1,Female,Single,56,Third Party,Sedan - All Perils,Sedan,30000 to 39000,14517,5,400,2,1 to 7,8 to 15,none,more than 7,21 to 25,No,No,Internal,more than 5,1 year,more than 8,Collision
Jan,Dodge,Rural,Monday,0,1,Female,Single,54,Policy Holder,Utility - All Perils,Utility,40000 to 59000,18363,7,700,4,none,none,more than 4,4 years,16 to 17,No,Yes,Internal,more than 5,2 to 3 years,1 vehicle,Collision
Sep,VW,Urban,Saturday,0,5,Female,Single,24,Third Party,Sport - Liability,Sport,more than 69000,32790,8,400,1,none,none,more than 4,7 years,26 to 30,No,Yes,Internal,more than 5,1 year,1 vehicle,Collision
Dec,Mecedes,Rural,Friday,Feb,4,Male,Married,65,Third Party,Utility - Liability,Sedan,20000 to 29000,93954,2,300,1,15 to 30,8 to 15,1,7 years,26 to 30,No,Yes,External,3 to 5,1 year,5 to 8,Liability
Jun,BMW,Rural,Thursday,Apr,2,Female,Widow,79,Third Party,Sport - Collision,Utility,less than 20000,16536,2,500,4,1 to 7,8 to 15,2 to 4,6 years,41 to 50,No,No,External,1 to 2,2 to 3 years,3 to 4,All Perils
Aug,Accura,Urban,Saturday,Sep,1,Male,Married,77,Third Party,Sedan - Collision,Utility,20000 to 29000,54266,5,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,Internal,3 to 5,1 year,3 to 4,All Perils
Apr,Saab,Urban,Sunday,0,1,Female,Widow,19,Policy Holder,Utility - All Perils,Sedan,20000 to 29000,36435,3,500,2,more than 30,none,2 to 4,new,21 to 25,Yes,Yes,Internal,1 to 2,4 to 8 years,2 vehicles,Collision
Oct,Saab,Rural,Friday,0,5,Male,Divorced,52,Policy Holder,Sedan - All Perils,Sedan,less than 20000,80990,4,700,2,more than 30,15 to 30,1,5 years,26 to 30,No,No,Internal,more than 5,4 to 8 years,more than 8,Collision
Dec,Accura,Urban,Tuesday,Mar,3,Female,Married,34,Policy Holder,Utility - All Perils,Utility,less than 20000,95243,1,700,4,none,15 to 30,2 to 4,2 years,51 to 65,Yes,Yes,Internal,none,under 6 months,1 vehicle,Liability
Jan,Mecedes,Rural,Friday,Jul,3,Male,Single,80,Policy Holder,Sedan - All Perils,Sport,30000 to 39000,15696,4,300,4,8 to 15,8 to 15,2 to 4,more than 7,51 to 65,No,No,Internal,1 to 2,2 to 3 years,2 vehicles,Collision
Jan,Porche,Urban,Tuesday,Sep,5,Male,Widow,48,Policy Holder,Utility - All Perils,Sedan,more than 69000,54604,2,300,3,8 to 15,none,more than 4,6 years,36 to 40,No,Yes,Internal,more than 5,1 year,2 vehicles,Collision
Jul,Porche,Rural,Thursday,Feb,2,Male,Married,34,Policy Holder,Utility - Collision,Utility,less than 20000,71765,1,500,4,1 to 7,more than 30,none,2 years,36 to 40,Yes,No,External,none,2 to 3 years,1 vehicle,Collision
May,Toyota,Rural,Saturday,Sep,1,Female,Single,19,Third Party,Sport - Liability,Utility,30000 to 39000,83561,5,300,1,more than 30,15 to 30,more than 4,6 years,31 to 35,Yes,No,Internal,3 to 5,2 to 3 years,5 to 8,All Perils
Mar,Honda,Urban,0,Mar,5,Male,Married,23,Third Party,Sport - All Perils,Utility,20000 to 29000,21791,2,500,3,none,none,1,7 years,26 to 30,Yes,No,Internal,1 to 2,2 to 3 years,more than 8,Liability
Jan,BMW,Urban,Wednesday,Apr,5,Male,Single,60,Policy Holder,Utility - All Perils,Utility,30000 to 39000,61284,2,400,2,8 to 15,15 to 30,more than 4,5 years,41 to 50,No,Yes,External,1 to 2,4 to 8 years,1 vehicle,Collision
Sep,BMW,Rural,Thursday,Dec,5,Female,Single,78,Policy Holder,Utility - All Perils,Sport,less than 20000,97489,9,500,3,15 to 30,more than 30,1,6 years,36 to 40,Yes,Yes,Internal,more than 5,1 year,1 vehicle,Collision
Oct,Accura,Rural,Saturday,Apr,2,Female,Single,45,Third Party,Utility - Liability,Sport,60000 to 69000,56174,3,300,4,more than 30,8 to 15,2 to 4,2 years,41 to 50,Yes,No,External,1 to 2,4 to 8 years,1 vehicle,Collision
Jul,Chevrolet,Urban,Wednesday,Jun,2,Female,Single,71,Policy Holder,Utility - All Perils,Utility,60000 to 69000,48559,9,700,1,none,15 to 30,1,4 years,16 to 17,No,Yes,Internal,1 to 2,4 to 8 years,3 to 4,Liability
Sep,Dodge,Rural,0,Jun,4,Male,Single,80,Third Party,Sedan - Collision,Utility,40000 to 59000,19926,4,300,1,none,8 to 15,more than 4,new,31 to 35,Yes,Yes,External,none,2 to 3 years,3 to 4,Liability
May,Ferrari,Rural,Wednesday,Mar,4,Male,Single,0,Third Party,Utility - All Perils,Sedan,60000 to 69000,56092,2,500,1,more than 30,more than 30,2 to 4,5 years,18 to 20,No,No,External,none,4 to 8 years,more than 8,Collision
Nov,Nisson,Rural,Tuesday,Jul,4,Female,Widow,40,Third Party,Utility - Collision,Sedan,more than 69000,38267,7,500,4,none,15 to 30,more than 4,6 years,21 to 25,No,Yes,External,more than 5,2 to 3 years,2 vehicles,Liability
Apr,Chevrolet,Rural,Sunday,Nov,3,Male,Divorced,21,Policy Holder,Utility - All Perils,Sport,less than 20000,90089,8,700,1,1 to 7,none,1,7 years,18 to 20,Yes,Yes,External,1 to 2,under 6 months,1 vehicle,Liability
Jun,Saab,Urban,Thursday,Jul,2,Male,Widow,48,Policy Holder,Sport - Collision,Utility,30000 to 39000,93807,2,400,2,8 to 15,8 to 15,none,3 years,over 65,Yes,Yes,External,none,under 6 months,1 vehicle,Liability
Feb,Honda,Rural,0,Aug,3,Male,Divorced,53,Policy Holder,Sport - All Perils,Utility,40000 to 59000,60410,9,500,1,15 to 30,8 to 15,none,4 years,36 to 40,Yes,Yes,External,none,2 to 3 years,more than 8,All Perils
Jan,Lexus,Urban,Thursday,Mar,5,Male,Married,0,Policy Holder,Sport - Liability,Sport,20000 to 29000,67750,5,400,1,15 to 30,more than 30,1,new,26 to 30,No,No,Internal,1 to 2,under 6 months,more than 8,All Perils
Jul,Mecedes,Urban,Wednesday,Apr,5,Male,Single,45,Policy Holder,Sport - All Perils,Utility,30000 to 39000,34100,3,400,4,15 to 30,8 to 15,2 to 4,5 years,16 to 17,No,Yes,External,more than 5,4 to 8 years,more than 8,Collision
Dec,Chevrolet,Rural,Wednesday,Aug,2,Female,Widow,23,Third Party,Sport - All Perils,Sport,more than 69000,83336,7,400,3,8 to 15,none,none,6 years,41 to 50,No,Yes,Internal,3 to 5,no change,2 vehicles,Liability
Jan,Saab,Urban,Wednesday,0,5,Male,Married,55,Third Party,Sport - All Perils,Utility,60000 to 69000,41547,8,700,3,8 to 15,8 to 15,2 to 4,5 years,51 to 65,No,Yes,Internal,3 to 5,4 to 8 years,1 vehicle,Liability
Jan,Chevrolet,Rural,Friday,Mar,1,Female,Widow,47,Third Party,Sport - All Perils,Sport,less than 20000,47354,7,400,4,1 to 7,none,2 to 4,3 years,31 to 35,No,Yes,Internal,none,under 6 months,1 vehicle,Liability
Sep,Porche,Urban,Thursday,Feb,4,Female,Married,23,Third Party,Sport - Collision,Sport,20000 to 29000,69399,2,400,1,8 to 15,8 to 15,2 to 4,7 years,31 to 35,Yes,Yes,Internal,more than 5,under 6 months,2 vehicles,Liability
Oct,Ford,Rural,Wednesday,Oct,4,Male,Single,59,Policy Holder,Utility - Liability,Utility,30000 to 39000,82903,2,500,2,8 to 15,15 to 30,more than 4,new,36 to 40,Yes,No,External,more than 5,no change,5 to 8,All Perils
May,Ford,Rural,Sunday,Jun,1,Female,Divorced,47,Policy Holder,Sedan - All Perils,Sedan,60000 to 69000,12681,9,400,1,8 to 15,15 to 30,none,new,18 to 20,No,No,Internal,3 to 5,1 year,more than 8,Collision
Nov,Ford,Urban,0,Apr,3,Male,Single,61,Policy Holder,Utility - All Perils,Sport,40000 to 59000,80220,2,700,4,none,15 to 30,more than 4,6 years,16 to 17,Yes,No,Internal,more than 5,under 6 months,1 vehicle,Collision
Oct,Ferrari,Urban,0,May,5,Male,Widow,57,Policy Holder,Utility - Collision,Sedan,less than 20000,92891,3,500,2,1 to 7,none,2 to 4,4 years,31 to 35,Yes,Yes,Internal,3 to 5,2 to 3 years,5 to 8,All Perils
Nov,Porche,Rural,Friday,May,5,Male,Married,80,Policy Holder,Sedan - Liability,Sport,40000 to 59000,20157,8,700,4,1 to 7,8 to 15,more than 4,new,26 to 30,No,No,Internal,more than 5,1 year,2 vehicles,All Perils
Oct,Ferrari,Urban,Saturday,Oct,4,Male,Married,68,Policy Holder,Sport - All Perils,Sport,more than 69000,47397,3,300,4,none,more than 30,none,more than 7,41 to 50,No,No,Internal,more than 5,2 to 3 years,2 vehicles,Liability
Apr,Nisson,Urban,Tuesday,Sep,2,Female,Married,78,Policy Holder,Sport - All Perils,Utility,60000 to 69000,86601,1,700,2,1 to 7,8 to 15,none,more than 7,16 to 17,Yes,No,External,more than 5,2 to 3 years,more than 8,Collision
Sep,Pontiac,Rural,0,Mar,2,Male,Widow,54,Third Party,Utility - Collision,Utility,more than 69000,29325,5,300,2,none,none,none,3 years,21 to 25,No,No,External,more than 5,4 to 8 years,1 vehicle,Liability
Mar,Mecedes,Rural,Saturday,Sep,1,Female,Widow,40,Policy Holder,Sedan - Collision,Utility,20000 to 29000,78822,1,700,2,8 to 15,15 to 30,2 to 4,4 years,26 to 30,No,Yes,Internal,1 to 2,4 to 8 years,1 vehicle,All Perils
Mar,Ferrari,Rural,Monday,Oct,2,Female,Single,71,Third Party,Utility - Liability,Utility,20000 to 29000,15137,6,300,2,15 to 30,8 to 15,1,2 years,18 to 20,Yes,Yes,External,none,2 to 3 years,more than 8,Liability
Jun,Toyota,Rural,Wednesday,Sep,5,Male,Single,44,Third Party,Sedan - All Perils,Sport,60000 to 69000,27548,4,500,2,8 to 15,more than 30,1,6 years,51 to 65,Yes,No,External,none,1 year,3 to 4,Collision
Oct,Honda,Urban,Thursday,Dec,2,Male,Married,25,Third Party,Utility - Collision,Sport,60000 to 69000,22574,4,700,3,more than 30,more than 30,more than 4,2 years,41 to 50,No,Yes,External,3 to 5,4 to 8 years,more than 8,Collision
May,Mercury,Rural,0,Nov,2,Male,Divorced,60,Third Party,Utility - Collision,Utility,20000 to 29000,56448,1,500,4,1 to 7,15 to 30,more than 4,3 years,16 to 17,Yes,Yes,Internal,none,2 to 3 years,2 vehicles,Liability
Apr,Ford,Urban,0,Sep,2,Female,Married,54,Policy Holder,Utility - Liability,Sport,more than 69000,24658,6,300,3,15 to 30,8 to 15,more than 4,2 years,51 to 65,Yes,No,Internal,more than 5,2 to 3 years,3 to 4,All Perils
Apr,Pontiac,Urban,Wednesday,Aug,2,Female,Married,31,Policy Holder,Utility - All Perils,Sport,60000 to 69000,95378,6,300,2,none,more than 30,1,3 years,31 to 35,Yes,No,Internal,more than 5,1 year,5 to 8,Collision
May,Saturn,Rural,0,Aug,4,Male,Single,48,Third Party,Sport - Liability,Utility,40000 to 59000,32787,3,300,1,none,none,more than 4,4 years,26 to 30,No,Yes,Internal,none,4 to 8 years,2 vehicles,Collision
Apr,Mazda,Rural,Thursday,Aug,5,Female,Widow,71,Third Party,Utility - Liability,Utility,20000 to 29000,16319,8,400,1,15 to 30,none,more than 4,new,16 to 17,Yes,Yes,Internal,more than 5,under 6 months,2 vehicles,Collision
Jun,Lexus,Urban,0,Feb,3,Female,Single,77,Policy Holder,Utility - All Perils,Sport,60000 to 69000,40597,4,400,2,8 to 15,8 to 15,2 to 4,4 years,41 to 50,Yes,No,Internal,more than 5,under 6 months,3 to 4,Liability
Jun,Mercury,Urban,Friday,Aug,1,Male,Divorced,75,Policy Holder,Sedan - Collision,Sport,40000 to 59000,19133,3,400,2,15 to 30,none,1,2 years,31 to 35,No,No,Internal,1 to 2,no change,2 vehicles,Liability
Jul,Porche,Rural,Saturday,0,2,Male,Married,43,Third Party,Sedan - Collision,Sport,60000 to 69000,78629,9,700,1,none,none,none,7 years,41 to 50,No,Yes,External,none,4 to 8 years,more than 8,Liability
Jan,Mercury,Rural,Monday,Jun,4,Female,Divorced,44,Third Party,Sport - Collision,Utility,60000 to 69000,92641,2,300,3,more than 30,none,1,2 years,21 to 25,Yes,No,External,3 to 5,4 to 8 years,2 vehicles,All Perils
Jun,Mercury,Urban,Friday,Mar,4,Male,Single,0,Third Party,Utility - Liability,Utility,more than 69000,57030,8,700,2,more than 30,15 to 30,1,4 years,21 to 25,No,No,External,none,4 to 8 years,3 to 4,All Perils
Jun,BMW,Rural,Tuesday,Jul,5,Female,Single,34,Third Party,Sedan - All Perils,Sport,60000 to 69000,74961,3,400,2,15 to 30,none,none,5 years,over 65,No,No,Internal,1 to 2,under 6 months,more than 8,All Perils
Aug,Mazda,Urban,Sunday,Mar,5,Male,Divorced,43,Policy Holder,Sport - All Perils,Utility,20000 to 29000,66662,2,300,1,1 to 7,more than 30,2 to 4,more than 7,36 to 40,Yes,Yes,Internal,more than 5,under 6 months,2 vehicles,All Perils
Oct,Jaguar,Urban,Sunday,Jan,5,Male,Widow,16,Third Party,Utility - All Perils,Sport,30000 to 39000,82142,8,300,3,none,none,none,3 years,51 to 65,Yes,Yes,External,1 to 2,under 6 months,1 vehicle,Collision
Jul,Mecedes,Urban,Thursday,Apr,3,Male,Single,17,Policy Holder,Utility - All Perils,Utility,40000 to 59000,68950,4,500,2,15 to 30,none,none,3 years,over 65,No,Yes,External,more than 5,1 year,3 to 4,Liability
Jun,Chevrolet,Rural,Tuesday,Jul,3,Female,Widow,25,Third Party,Utility - Collision,Utility,20000 to 29000,63044,2,400,4,more than 30,none,none,4 years,41 to 50,No,Yes,External,none,no change,3 to 4,All Perils
Dec,Honda,Rural,Thursday,Apr,1,Male,Divorced,70,Policy Holder,Utility - Liability,Sedan,40000 to 59000,30454,5,700,2,1 to 7,none,2 to 4,3 years,36 to 40,No,No,Internal,1 to 2,4 to 8 years,1 vehicle,All Perils
Jul,Ford,Urban,Friday,0,1,Male,Widow,55,Third Party,Utility - All Perils,Utility,30000 to 39000,71092,4,300,1,8 to 15,8 to 15,1,3 years,36 to 40,Yes,No,External,none,no change,1 vehicle,All Perils
Aug,Pontiac,Urban,Tuesday,Apr,3,Female,Single,76,Third Party,Utility - All Perils,Sport,more than 69000,15899,7,400,2,more than 30,more than 30,more than 4,5 years,51 to 65,No,No,Internal,more than 5,4 to 8 years,more than 8,All Perils
Sep,Saturn,Urban,0,Jun,3,Male,Single,69,Third Party,Utility - Liability,Utility,40000 to 59000,26166,9,300,2,8 to 15,more than 30,2 to 4,7 years,51 to 65,Yes,No,External,none,1 year,3 to 4,All Perils
Feb,BMW,Urban,Friday,Mar,4,Male,Widow,32,Third Party,Utility - All Perils,Utility,more than 69000,68365,8,500,2,none,none,more than 4,7 years,41 to 50,Yes,Yes,External,none,under 6 months,5 to 8,Collision
Oct,Nisson,Rural,Monday,Feb,5,Female,Divorced,73,Third Party,Sport - Liability,Sedan,40000 to 59000,77702,8,700,2,15 to 30,none,2 to 4,new,18 to 20,Yes,No,External,3 to 5,4 to 8 years,3 to 4,Collision
Aug,BMW,Rural,Sunday,0,5,Female,Widow,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,43312,3,700,4,none,none,more than 4,4 years,51 to 65,Yes,No,External,1 to 2,no change,more than 8,Liability
Dec,Saturn,Rural,Monday,0,3,Male,Single,72,Policy Holder,Sedan - All Perils,Sport,40000 to 59000,26447,7,400,2,8 to 15,none,more than 4,new,51 to 65,Yes,Yes,Internal,1 to 2,no change,3 to 4,Liability
Jul,Mecedes,Rural,Monday,Jun,1,Female,Single,21,Third Party,Utility - Collision,Sedan,40000 to 59000,85136,9,300,2,15 to 30,more than 30,more than 4,4 years,26 to 30,Yes,Yes,External,none,no change,2 vehicles,All Perils
Dec,Honda,Urban,Monday,May,3,Male,Married,25,Third Party,Utility - Liability,Sedan,40000 to 59000,53768,8,300,2,15 to 30,more than 30,more than 4,5 years,over 65,No,No,External,1 to 2,2 to 3 years,2 vehicles,Collision
Jun,Pontiac,Rural,Tuesday,Nov,3,Male,Widow,66,Policy Holder,Sedan - Collision,Utility,60000 to 69000,57380,5,400,3,none,more than 30,none,5 years,18 to 20,Yes,No,Internal,1 to 2,under 6 months,2 vehicles,Liability
Dec,Chevrolet,Urban,Sunday,Dec,2,Male,Married,66,Policy Holder,Sedan - Collision,Sport,20000 to 29000,44098,2,700,3,1 to 7,15 to 30,1,2 years,18 to 20,Yes,No,External,1 to 2,4 to 8 years,5 to 8,All Perils
Jan,Accura,Rural,Tuesday,Dec,1,Female,Single,54,Third Party,Sedan - All Perils,Sedan,less than 20000,82869,1,300,4,1 to 7,8 to 15,more than 4,7 years,51 to 65,Yes,Yes,Internal,3 to 5,no change,5 to 8,Liability
Sep,Ford,Rural,Sunday,0,5,Female,Single,80,Policy Holder,Utility - Liability,Sport,less than 20000,50015,4,400,4,none,more than 30,1,6 years,51 to 65,Yes,Yes,External,3 to 5,2 to 3 years,5 to 8,All Perils
Feb,Ferrari,Urban,Friday,Aug,1,Female,Widow,73,Third Party,Sedan - Liability,Sedan,40000 to 59000,42183,6,500,2,15 to 30,more than 30,2 to 4,4 years,31 to 35,Yes,Yes,Internal,1 to 2,4 to 8 years,5 to 8,Collision
Jan,Ferrari,Rural,Tuesday,May,5,Male,Divorced,30,Policy Holder,Sedan - All Perils,Sedan,60000 to 69000,91479,4,400,3,15 to 30,15 to 30,more than 4,6 years,41 to 50,No,No,Internal,none,2 to 3 years,3 to 4,All Perils
Jan,Nisson,Rural,Tuesday,Jul,4,Female,Divorced,18,Third Party,Utility - All Perils,Sport,less than 20000,76860,8,700,4,8 to 15,none,none,4 years,36 to 40,Yes,No,External,3 to 5,no change,more than 8,All Perils
Jun,Honda,Urban,Tuesday,Apr,1,Male,Divorced,62,Third Party,Utility - Collision,Utility,40000 to 59000,29158,2,700,2,15 to 30,15 to 30,2 to 4,4 years,21 to 25,Yes,No,External,3 to 5,4 to 8 years,2 vehicles,Liability
Dec,VW,Rural,Wednesday,Jul,1,Female,Married,34,Policy Holder,Sport - Collision,Sedan,more than 69000,48252,2,300,4,none,none,none,4 years,21 to 25,Yes,Yes,Internal,3 to 5,1 year,5 to 8,All Perils
Feb,Toyota,Urban,Thursday,Feb,3,Female,Divorced,53,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,18922,6,400,4,none,more than 30,1,5 years,26 to 30,Yes,No,Internal,none,under 6 months,more than 8,All Perils
May,Dodge,Urban,Thursday,Jun,2,Female,Widow,29,Policy Holder,Utility - Collision,Utility,60000 to 69000,24784,7,500,3,1 to 7,none,none,4 years,51 to 65,Yes,Yes,Internal,more than 5,2 to 3 years,5 to 8,Collision
Dec,Mecedes,Rural,Friday,Dec,3,Male,Single,33,Policy Holder,Utility - Collision,Utility,less than 20000,25316,7,400,4,1 to 7,15 to 30,2 to 4,6 years,16 to 17,No,Yes,Internal,none,2 to 3 years,2 vehicles,Collision
Jul,BMW,Rural,Friday,Sep,3,Female,Single,39,Policy Holder,Utility - Collision,Utility,40000 to 59000,10753,4,500,1,1 to 7,none,more than 4,3 years,51 to 65,Yes,No,Internal,1 to 2,2 to 3 years,2 vehicles,Collision
Jul,Jaguar,Rural,Tuesday,May,2,Male,Divorced,21,Policy Holder,Sedan - Collision,Sport,30000 to 39000,63161,5,400,2,more than 30,15 to 30,1,6 years,26 to 30,No,Yes,External,3 to 5,1 year,3 to 4,All Perils
Oct,Pontiac,Rural,0,Oct,5,Male,Divorced,77,Third Party,Sport - Liability,Sport,20000 to 29000,97688,9,500,2,8 to 15,15 to 30,more than 4,6 years,16 to 17,No,No,Internal,none,4 to 8 years,more than 8,Collision
Oct,Saturn,Urban,0,Nov,5,Female,Divorced,33,Third Party,Sport - Liability,Utility,40000 to 59000,71919,7,300,1,8 to 15,15 to 30,2 to 4,2 years,26 to 30,Yes,No,Internal,more than 5,no change,2 vehicles,Collision
Oct,Lexus,Rural,Friday,Aug,4,Male,Divorced,17,Policy Holder,Utility - All Perils,Utility,30000 to 39000,60024,5,500,4,15 to 30,none,1,7 years,51 to 65,No,Yes,External,none,4 to 8 years,3 to 4,Liability
Jan,Pontiac,Urban,Tuesday,Oct,1,Male,Single,77,Policy Holder,Sedan - Collision,Sedan,60000 to 69000,56651,7,500,2,8 to 15,15 to 30,2 to 4,more than 7,18 to 20,No,No,External,1 to 2,4 to 8 years,more than 8,All Perils
Jun,Saturn,Rural,0,Sep,2,Male,Widow,41,Third Party,Sport - All Perils,Sedan,20000 to 29000,40549,2,300,2,15 to 30,more than 30,2 to 4,7 years,36 to 40,No,Yes,External,3 to 5,1 year,1 vehicle,All Perils
Sep,VW,Urban,0,0,1,Female,Single,75,Third Party,Utility - Collision,Sport,30000 to 39000,30456,7,300,3,more than 30,more than 30,1,new,over 65,No,No,Internal,1 to 2,under 6 months,1 vehicle,Liability
Mar,Mercury,Urban,0,Jun,1,Male,Married,76,Policy Holder,Sport - Collision,Utility,40000 to 59000,68021,8,500,1,none,15 to 30,2 to 4,5 years,18 to 20,Yes,No,Internal,more than 5,under 6 months,3 to 4,Liability
Jul,Lexus,Urban,Monday,0,5,Male,Widow,33,Policy Holder,Utility - All Perils,Sedan,40000 to 59000,85806,8,400,1,none,none,none,new,36 to 40,No,Yes,Internal,1 to 2,no change,5 to 8,All Perils
May,Honda,Urban,Monday,Feb,5,Male,Married,63,Policy Holder,Sedan - Collision,Sedan,60000 to 69000,57969,9,700,3,8 to 15,8 to 15,2 to 4,2 years,51 to 65,Yes,No,Internal,none,4 to 8 years,3 to 4,Collision
Sep,Nisson,Rural,Sunday,Aug,5,Male,Divorced,42,Policy Holder,Utility - Liability,Utility,60000 to 69000,60559,7,400,1,none,none,none,6 years,51 to 65,Yes,No,External,none,under 6 months,1 vehicle,Liability
Apr,Chevrolet,Urban,Tuesday,Mar,5,Male,Married,57,Third Party,Sport - Liability,Sedan,40000 to 59000,61183,8,300,4,15 to 30,15 to 30,1,4 years,31 to 35,Yes,No,External,none,4 to 8 years,1 vehicle,Collision
Feb,Pontiac,Rural,Saturday,Dec,5,Male,Widow,17,Third Party,Sedan - All Perils,Sedan,less than 20000,49841,2,400,2,none,8 to 15,none,6 years,31 to 35,Yes,Yes,Internal,3 to 5,1 year,5 to 8,Liability
Dec,Pontiac,Rural,Tuesday,Jul,2,Male,Divorced,27,Third Party,Sedan - All Perils,Sport,20000 to 29000,82113,7,500,3,1 to 7,15 to 30,more than 4,4 years,21 to 25,Yes,Yes,Internal,3 to 5,4 to 8 years,5 to 8,All Perils
Feb,BMW,Urban,Friday,Aug,4,Female,Widow,61,Third Party,Sport - Liability,Sedan,30000 to 39000,48699,1,500,1,8 to 15,8 to 15,2 to 4,6 years,over 65,No,Yes,External,none,under 6 months,2 vehicles,Liability
Apr,Jaguar,Urban,Saturday,Feb,4,Male,Divorced,64,Third Party,Sedan - All Perils,Utility,60000 to 69000,27966,1,500,3,none,8 to 15,1,more than 7,over 65,No,No,Internal,1 to 2,1 year,2 vehicles,Liability
Nov,Ferrari,Rural,Monday,Jul,4,Female,Divorced,35,Third Party,Sedan - Collision,Utility,more than 69000,71150,2,400,1,1 to 7,none,2 to 4,7 years,31 to 35,No,No,Internal,more than 5,4 to 8 years,1 vehicle,Liability
Dec,Accura,Urban,Wednesday,Apr,3,Male,Single,24,Third Party,Sedan - Collision,Utility,30000 to 39000,42168,2,400,1,1 to 7,more than 30,1,7 years,51 to 65,Yes,Yes,Internal,3 to 5,4 to 8 years,1 vehicle,Collision
Dec,Porche,Rural,Thursday,Dec,2,Female,Divorced,36,Third Party,Sedan - All Perils,Sport,less than 20000,82669,3,400,4,more than 30,8 to 15,2 to 4,5 years,36 to 40,No,No,Internal,3 to 5,2 to 3 years,5 to 8,Collision
Dec,BMW,Urban,Saturday,0,1,Male,Divorced,52,Third Party,Utility - Collision,Utility,less than 20000,93253,1,400,4,1 to 7,15 to 30,1,2 years,36 to 40,Yes,No,External,1 to 2,4 to 8 years,3 to 4,All Perils
Jul,Pontiac,Rural,Monday,Oct,4,Female,Single,54,Policy Holder,Utility - Liability,Sedan,30000 to 39000,41535,6,500,4,none,15 to 30,none,new,36 to 40,Yes,No,External,more than 5,under 6 months,1 vehicle,Liability
Dec,Saab,Urban,Wednesday,Feb,2,Female,Divorced,52,Third Party,Sport - Liability,Utility,more than 69000,44775,5,400,4,1 to 7,none,none,4 years,26 to 30,No,No,Internal,more than 5,1 year,3 to 4,All Perils
